,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-11-05,PTON,"Peloton Interactive, Inc.",55.64,-30.42,-35.35,17.598B,17.97268152408339
1,2021-11-05,ADGI,"Adagio Therapeutics, Inc.",20.04,-10.26,-33.86,2.288B,49.9001996007984
3,2021-11-05,MRVI,"Maravai LifeSciences Holdings, Inc.",35.0,-9.84,-21.94,4.6B,28.571428571428573
4,2021-11-05,BNTX,BioNTech SE,216.64,-57.3,-20.92,56.657B,4.615952732644018
5,2021-11-05,NKTR,Nektar Therapeutics,13.45,-3.2,-19.22,2.472B,74.34944237918216
6,2021-11-05,MRNA,"Moderna, Inc.",236.99,-47.03,-16.56,116.509B,4.2195873243596775
7,2021-11-05,NKLA,Nikola Corporation,13.14,-2.3,-14.9,5.275B,76.10350076103501
8,2021-11-05,VIR,"Vir Biotechnology, Inc.",31.26,-5.42,-14.78,4.083B,31.98976327575176
9,2021-11-05,TDC,Teradata Corporation,48.84,-8.05,-14.15,5.328B,20.475020475020475
10,2021-11-05,ZLAB,Zai Lab Limited,88.49,-14.24,-13.86,8.502B,11.300711944852527
12,2021-11-05,CGNX,Cognex Corporation,78.96,-12.3,-13.48,13.953B,12.664640324214794
13,2021-11-05,ABCL,AbCellera Biologics Inc.,15.09,-2.28,-13.13,4.266B,66.26905235255136
14,2021-11-05,AMN,"AMN Healthcare Services, Inc.",97.74,-14.68,-13.06,4.619B,10.23122570083896
15,2021-11-05,APPN,Appian Corporation,90.73,-12.66,-12.24,6.175B,11.021712774165104
16,2021-11-05,SWCH,"Switch, Inc.",23.06,-3.16,-12.05,3.249B,43.36513443191674
17,2021-11-05,VALN,Valneva SE,40.65,-5.4,-11.73,2.138B,24.600246002460025
18,2021-11-05,NVAX,"Novavax, Inc.",159.19,-20.22,-11.27,11.857B,6.281801620704818
19,2021-11-05,CGC,Canopy Growth Corporation,11.79,-1.47,-11.09,4.721B,84.81764206955047
20,2021-11-05,QDEL,Quidel Corporation,121.1,-15.04,-11.05,5.042B,8.257638315441785
22,2021-11-05,INRLF,Valneva SE,20.5,-2.5,-10.87,2.159B,48.78048780487805
23,2021-11-05,DBX,"Dropbox, Inc.",27.81,-3.2,-10.32,10.978B,35.958288385472855
24,2021-11-05,GBT,"Global Blood Therapeutics, Inc.",35.35,-4.02,-10.21,2.206B,28.28854314002829
